"varu-/tjänstegrupp","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"1510  lättmargarin",99.60,98.99,101.45,109.66,102.57,98.87,104.47,102.18,107.58,99.29,103.58,100.33,103.60,101.26,97.79
"1611  potatis, paketerad",92.56,107.64,115.59,110.52,98.86,103.11,105.68,97.47,104.42,103.52,107.09,96.12,103.49,108.11,109.55
"1612  morötter",98.35,100.45,101.31,105.70,97.57,99.10,98.52,104.58,103.66,94.96,109.47,106.79,107.49,125.92,120.15
"1613  vitkål",105.46,130.48,102.59,128.09,80.10,124.12,118.20,86.37,104.91,115.85,111.10,103.45,94.12,111.87,131.59
"1614  gul lök",85.24,107.36,134.14,82.22,94.86,132.34,97.44,93.28,103.87,112.11,100.92,106.83,100.86,98.61,125.60
"1615  tomater",109.65,95.45,100.50,99.85,103.28,107.11,83.72,105.72,93.85,104.74,108.55,98.33,109.71,103.63,115.24
"1616  slanggurka",110.93,106.51,95.31,104.87,121.03,92.89,88.12,107.49,107.82,108.28,113.41,108.26,100.15,103.41,102.66
"1617  päron",94.57,113.96,97.82,125.38,107.82,85.18,94.46,101.79,132.38,76.82,110.94,97.93,110.30,115.22,96.59
"1618  äpplen",92.75,112.09,107.81,114.07,95.09,99.12,104.55,106.48,112.29,92.58,101.71,101.49,107.41,119.60,93.00
"1619  apelsiner",96.05,106.45,111.41,110.52,101.25,97.51,89.82,102.94,100.35,104.59,106.96,107.82,120.45,113.02,86.79
"1620  bananer",117.26,99.04,97.18,105.12,110.63,100.51,100.79,99.97,103.90,97.24,108.02,102.20,99.74,96.87,101.97
"1621  sallad",108.51,103.61,99.91,105.73,94.17,111.35,90.52,105.88,97.63,98.91,107.97,98.58,105.28,99.08,104.34
"1622  vindruvor",101.38,99.55,110.00,104.84,105.91,92.46,98.62,98.58,100.14,109.73,102.41,93.13,96.09,95.10,101.79
"1623  juice och nektar",98.00,100.58,102.98,106.55,101.32,101.42,104.89,101.52,101.48,100.19,101.76,102.43,103.70,105.54,101.76
"1625  grönsakskonserver",91.54,97.48,104.29,107.38,107.82,100.36,97.41,100.03,101.07,102.07,102.47,98.79,99.04,99.48,101.35
"1626  potatisprodukter",97.94,98.41,101.36,103.13,102.39,99.92,99.34,98.94,100.70,100.43,101.23,100.93,99.74,102.00,108.42
"1628  salladskål",104.44,113.06,100.09,102.93,96.53,117.21,89.63,100.14,110.60,95.71,108.44,99.44,113.78,109.92,116.33
"1631  avocado",99.46,100.09,97.23,110.78,104.36,93.18,108.59,97.71,100.85,110.51,119.88,112.77,108.83,98.38,113.34
"1632  kiwi",89.74,126.86,106.47,108.71,98.22,95.73,92.81,91.79,117.81,125.39,105.14,103.68,120.50,108.92,92.70
"1635  djupfryst frukt och bär",96.47,98.21,108.44,116.36,121.50,101.46,94.83,95.80,94.66,99.59,102.25,100.53,98.23,99.76,100.83
"1636  djupfrysta grönsaker",99.91,97.98,102.91,104.36,104.69,99.37,98.27,101.47,100.83,99.32,97.46,99.90,100.62,101.35,105.98
"1641  nötter och torkad frukt",104.70,109.25,99.16,104.28,108.68,102.91,106.40,106.56,100.36,101.41,113.02,102.90,98.29,101.16,101.94
"1642  frukt- och bärprodukter",100.94,100.14,101.82,104.00,114.17,101.40,98.00,108.52,104.15,101.84,105.65,100.91,101.98,102.60,104.14
"1643  ärter och bönor",97.77,95.67,98.61,109.35,108.06,100.95,105.48,100.05,100.08,99.07,102.11,108.23,104.29,100.31,104.54
"1646  sylt och marmelad",96.48,98.72,101.25,113.47,103.85,101.20,108.15,106.08,98.97,99.68,99.70,100.36,99.23,105.99,112.39
"1650  saft m.m.",97.99,98.41,101.30,103.96,104.96,100.29,100.49,103.02,100.61,99.57,99.34,99.88,99.67,102.00,99.88
"1654  blomkål",121.19,109.89,102.19,101.57,117.20,94.24,93.89,102.47,100.45,94.59,107.19,114.03,87.93,103.97,112.04
"1655  purjolök",106.07,123.13,76.10,109.54,114.76,103.91,79.98,112.09,106.37,73.30,123.61,112.29,96.31,106.23,125.74
"1656  färska champinjoner",95.64,100.34,99.07,109.61,101.24,96.36,96.88,105.61,101.17,102.58,95.41,102.45,99.22,103.18,100.52
"1657  småcitrus",95.77,106.21,95.81,111.66,114.20,96.61,96.95,106.57,106.60,92.55,112.51,101.72,108.48,124.78,82.70
"1659  citroner",107.35,88.07,120.25,144.99,74.81,129.23,80.02,109.49,113.81,112.33,99.91,124.65,92.24,112.62,93.70
"1664  honungsmelon",108.72,110.44,106.97,105.55,114.22,93.11,105.49,103.91,107.30,106.33,101.75,99.09,97.00,100.91,100.15
"1665  potatis, lös vikt",84.07,109.58,115.60,114.72,91.14,102.26,100.32,90.93,120.33,98.84,109.55,105.16,100.75,107.33,109.51
"1667  paprika",85.50,96.65,113.10,97.53,90.50,109.55,85.45,110.16,107.99,88.17,117.43,105.88,102.26,110.37,101.38
"1669  potatis, kravmärkt",96.34,105.30,103.56,115.98,106.86,101.20,105.30,96.00,112.29,102.76,107.81,107.82,91.75,97.61,112.18
"1670  morötter, kravmärkta",98.79,110.29,101.07,112.65,105.16,90.54,102.59,104.03,106.76,97.15,112.21,104.78,98.91,112.64,99.64
"1671  färska kryddor",..,..,..,..,..,111.35,92.38,100.04,101.14,100.76,105.90,97.15,100.15,100.65,101.26
"1672  färska bär",..,..,..,..,..,..,..,..,..,..,..,83.76,101.64,105.90,91.08
"1673  chips",..,..,..,..,..,..,..,..,..,..,106.54,100.26,101.02,101.00,102.87
"1706  kaffe",98.78,102.52,101.80,105.88,109.81,105.32,125.23,97.78,93.29,100.37,112.46,93.46,111.32,96.71,99.96
"1708  te",96.18,96.63,102.14,103.30,107.16,104.36,96.68,99.81,98.06,99.35,102.62,103.26,103.00,98.95,101.18
"1710  kakao och chokladdrycker",96.38,98.49,97.95,97.83,101.59,100.85,101.77,102.79,101.48,98.16,97.88,100.22,101.46,97.76,98.45
"1802  salt",89.95,97.67,104.98,103.58,103.34,105.43,103.61,101.68,102.09,100.44,101.45,101.56,97.11,99.01,100.81
"1815  socker",98.02,100.20,100.74,101.00,103.39,98.74,99.53,105.34,100.84,102.30,96.10,98.30,99.31,102.43,102.46
"1819  glass",98.52,98.81,101.07,106.01,101.71,101.32,99.68,100.56,97.97,98.55,98.52,101.42,104.75,101.81,101.80
"1823  choklad",96.72,98.57,100.64,102.51,105.45,102.96,100.96,100.30,102.12,98.73,103.03,101.82,98.76,99.52,102.47
"1824  konfektyr",98.68,99.14,103.15,102.27,103.69,103.28,99.67,101.94,99.50,99.61,101.31,100.82,100.80,101.07,101.50
"1827  kryddor och såser",97.14,98.32,100.87,103.05,106.51,102.53,99.38,101.20,100.66,99.96,102.57,101.18,101.01,102.74,101.62
"1838  honung",97.78,96.56,99.74,101.47,111.55,105.84,96.07,100.97,105.05,101.93,102.67,107.24,111.14,100.61,103.09
"1839  sirap",95.83,98.51,99.41,99.30,102.99,101.85,98.08,101.27,103.01,103.55,99.94,100.39,99.77,99.53,99.76
"1841  jäst, soppor, barnmat m.m.",99.09,99.21,100.86,104.69,102.97,100.46,102.75,102.49,100.00,99.88,100.38,99.90,100.38,100.31,101.71
"1905  öl, 0-2,7 %",100.75,98.75,101.22,105.02,105.51,102.05,103.22,100.48,99.17,100.23,101.39,97.16,101.36,99.76,104.86
"1906  mineralvatten",99.27,99.18,101.24,105.75,98.88,99.63,101.64,102.93,100.46,99.51,101.09,100.62,102.36,100.55,102.22
"1907  läsk",99.54,99.56,99.84,100.72,102.00,102.29,102.37,102.28,103.23,102.93,102.20,100.93,99.60,101.34,104.47
"1908  cider",95.44,98.08,101.69,106.34,108.46,103.85,103.97,103.34,98.38,99.09,100.08,98.96,100.51,109.75,119.59
