"varu-/tjänstegrupp","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"5403  tallrik",97.73,98.69,101.17,100.38,104.83,98.73,98.20,98.64,106.07,102.62,100.65,101.99,97.30,101.29,97.28
"5404  kaffekopp",95.43,94.25,102.43,105.13,92.56,95.10,96.70,93.34,99.08,99.61,96.03,102.74,98.98,101.52,101.06
"5405  dricksglas",109.48,102.74,107.28,107.07,102.54,107.02,99.81,91.56,91.68,102.97,97.03,101.02,96.22,98.66,96.56
"5407  bordskniv",102.06,92.21,104.26,103.14,100.33,101.77,91.70,95.73,93.18,98.98,107.42,97.45,103.55,100.20,103.18
"5408  kastrull",104.37,99.82,105.07,98.70,104.94,94.30,107.57,97.07,95.95,100.25,99.79,102.26,102.16,102.67,106.72
"5410  hammare",99.94,97.93,100.99,106.00,103.49,97.26,101.44,98.80,102.27,98.51,96.46,98.45,97.50,101.04,101.66
"5413  trädgårdsspade",98.51,95.38,105.18,106.97,103.66,100.40,107.28,99.10,95.91,98.92,100.63,104.58,102.01,106.42,109.96
"5414  glödlampa, batteri, proppar",99.80,100.78,101.79,101.82,102.97,107.29,104.62,100.13,97.67,99.27,97.83,99.07,96.49,98.32,98.64
"5416  kökskniv",101.72,96.54,100.70,102.35,110.30,98.81,102.06,103.46,96.09,102.71,103.50,101.80,100.60,101.96,101.39
"5426  gräsklippare",94.54,96.11,103.87,105.39,104.40,103.48,103.29,101.91,100.47,99.81,94.61,88.03,97.13,91.89,94.06
"5513  hushållspapper",95.79,99.15,101.67,104.30,107.23,102.48,99.90,100.16,99.51,99.10,100.25,101.40,100.80,100.97,106.81
"5518  hushållsvåg",101.74,97.76,100.99,90.35,88.78,97.52,101.06,100.71,86.46,90.71,100.01,96.42,99.01,111.11,97.68
"5524  tvättmedel",97.86,99.20,100.82,104.32,103.11,98.11,100.66,100.80,95.13,100.09,101.29,101.28,102.38,97.54,103.33
"5525  diskmedel",98.90,97.15,100.91,100.07,113.01,105.76,102.94,99.70,99.41,100.58,100.76,100.03,99.05,100.99,96.75
"5526  rengöringsmedel m.m.",96.59,96.54,100.49,100.97,100.30,101.93,100.81,99.32,99.41,100.50,100.10,103.59,101.23,98.23,100.99
"5527  redskap för rengöring",95.73,96.61,99.83,101.28,106.20,104.69,105.08,101.92,99.20,99.65,100.05,101.65,100.62,98.71,101.03
"5528  andra förbrukningsvaror",100.98,99.62,102.13,106.23,103.74,102.76,99.76,101.33,101.59,97.03,101.07,101.78,99.55,101.16,105.29
"5530  plastburk",101.56,100.57,103.08,102.42,104.55,101.89,101.80,105.40,100.13,98.39,99.36,102.39,98.38,95.60,94.69
"5531  salladsskål",93.53,94.62,102.29,110.91,104.22,91.80,100.89,97.38,94.18,96.30,105.48,107.84,102.05,101.28,99.78
"5532  städning",105.18,104.41,78.64,70.07,103.74,103.67,106.25,100.72,100.35,98.22,103.05,101.68,101.98,100.50,103.15
"5533  övriga hushållsnära tjänster",..,..,..,..,..,..,..,..,..,..,..,101.68,100.67,100.89,99.82
"6102  cykel",91.75,102.65,98.83,97.75,101.11,101.70,97.31,98.48,99.28,100.42,102.10,99.09,99.13,100.81,99.72
"6103  motorcykel",99.46,98.75,99.74,99.76,103.01,101.86,97.30,97.22,98.51,100.30,101.81,99.00,99.03,100.75,102.32
"6104  husvagn",100.78,105.41,102.87,103.73,107.83,103.46,100.92,100.02,95.57,101.59,100.22,99.10,104.33,102.57,103.11
"6105  nya bilar",100.86,100.76,99.57,98.84,102.54,101.66,99.79,99.32,99.81,99.08,100.19,101.03,101.22,101.25,101.97
"6106  privatleasing av bilar",..,..,..,..,..,..,..,..,..,..,..,101.03,102.33,102.38,105.38
"6111  begagnade bilar",95.99,98.42,100.02,97.00,99.33,107.62,96.44,95.67,99.66,100.19,102.51,101.31,95.76,95.70,104.87
"6112  husbil",..,..,..,103.98,114.19,101.02,98.08,100.44,96.98,103.74,101.15,97.93,102.11,98.30,97.67
"6201  timpris, bilreparationer",105.38,103.36,105.46,104.47,104.90,103.63,102.68,98.90,102.09,102.42,104.27,101.13,103.16,101.50,105.30
"6202  byte av avgassystem",99.18,102.54,103.90,101.75,104.46,99.53,100.94,101.86,102.50,101.71,100.64,99.16,99.86,94.86,103.73
"6204  byte av bromsdelar",105.39,103.40,104.33,102.86,106.22,104.05,100.42,101.62,98.07,99.38,101.02,100.21,102.18,100.17,102.57
"6207  bilreservdelar",99.88,101.85,103.02,102.53,104.14,99.43,101.41,102.10,102.52,99.99,99.86,99.42,101.51,95.27,102.04
"6208  underhållsservice",104.45,101.92,103.52,104.14,105.20,101.14,102.90,97.17,98.46,100.52,101.46,101.23,101.74,101.68,105.49
"6209  bildäck",105.46,98.44,99.94,99.70,101.91,100.42,99.85,101.57,97.11,99.99,101.58,101.14,99.70,100.82,100.49
"6210  kontrollbesiktning",100.00,100.00,100.00,100.00,100.00,100.00,100.00,105.49,102.23,104.72,104.21,108.86,108.42,103.83,106.29
"6211  körskoleutbildning",102.53,104.36,102.27,103.42,103.19,105.10,103.07,103.59,103.26,98.85,101.50,98.57,101.69,101.38,102.64
"6212  garagekostnad",101.61,101.38,101.31,104.26,103.06,101.01,101.80,102.17,102.40,102.86,102.40,101.82,101.44,102.43,103.50
"6214  dieselolja",121.64,104.75,97.18,121.92,87.28,108.40,113.70,105.10,97.57,97.97,91.39,98.04,108.89,112.00,103.55
"6216  bilförsäkring",105.64,104.10,111.39,103.76,101.84,98.86,98.94,101.13,100.22,100.79,101.88,99.64,100.32,100.11,98.61
"6217  parkeringsavgifter",103.37,102.21,101.63,103.30,104.01,104.85,102.66,103.48,105.30,101.92,100.96,101.60,105.33,104.29,101.58
"6218  biltillbehör",101.04,102.76,102.92,100.17,101.40,101.94,101.29,101.56,101.41,102.69,104.16,102.77,105.58,102.81,102.60
"6219  biltvätt",103.55,103.59,102.71,102.58,103.04,101.14,101.38,100.92,101.80,102.01,100.00,100.88,100.42,101.31,101.43
"6220  bensin 98/99 oktan",109.89,103.13,101.74,108.21,96.54,107.68,108.23,106.74,96.83,98.76,94.38,99.35,106.88,109.04,102.97
"6221  bensin 95 oktan",109.82,102.47,101.83,108.05,95.97,107.78,108.64,106.42,96.70,98.59,93.42,98.44,107.48,108.82,102.31
"6222  biluthyrning",102.05,99.05,105.33,101.63,95.20,106.46,103.87,98.45,90.11,95.12,110.29,98.40,108.68,100.45,115.12
"6224  broavgifter m.m.",103.71,212.00,73.09,142.68,101.83,100.45,97.70,100.79,158.11,100.78,104.67,127.69,100.98,101.58,101.45
"6225  e 85",..,..,90.30,106.26,109.79,98.64,104.79,103.75,97.71,94.50,109.09,105.01,103.69,94.43,114.66
"6226  byte av styrled",..,..,..,101.35,103.74,102.18,102.08,100.87,99.65,100.29,100.37,100.95,102.53,104.78,106.05
"6303  järnvägsresor",102.37,99.88,94.40,98.03,104.63,104.67,102.29,101.62,105.79,96.82,96.29,106.30,107.85,98.20,106.20
"6304  taxi",103.28,103.86,102.65,105.75,102.69,101.10,104.17,103.94,100.41,100.12,101.57,105.25,102.18,100.55,101.20
"6305  inrikes flygresor",112.35,104.86,103.21,109.23,107.22,99.63,103.48,105.52,89.14,108.51,91.23,91.26,102.49,101.58,106.74
"6307  flyttning",104.89,103.34,103.92,107.77,96.65,103.44,104.66,103.09,100.06,99.72,98.66,82.78,72.86,99.42,105.51
"6308  lokaltrafik",103.17,99.31,103.80,108.81,105.53,101.13,102.71,107.75,102.36,102.98,102.03,102.56,107.50,103.30,104.02
"6309  flygcharter",96.48,101.83,103.27,97.92,110.31,105.17,95.72,101.89,101.22,98.08,100.98,101.25,106.44,103.67,99.93
"6310  båtresor, in- och utrikes",100.36,105.23,102.00,105.44,101.82,99.44,99.66,100.54,96.75,92.06,105.89,95.34,94.60,105.61,107.01
"6311  utrikes flygresor",98.17,101.63,107.17,105.02,104.77,100.35,92.44,102.84,90.15,95.88,109.53,94.78,98.43,103.20,97.78
"6312  långfärdsbuss",104.77,104.91,102.01,99.92,88.65,103.65,116.95,98.31,101.81,96.98,107.16,91.40,86.57,88.45,103.83
"6403  brev och paket",102.61,101.04,101.78,103.05,106.80,100.19,100.91,100.80,102.15,103.06,103.30,94.54,99.32,103.75,98.97
"6409  mobiltelefoni",..,..,..,..,..,..,..,..,..,99.48,94.79,94.73,99.05,97.49,95.51
"6410  utrustning, bordstelefon",..,..,..,..,..,..,..,..,..,96.81,99.68,96.61,99.59,102.13,104.10
"6411  fasta nättjänster",..,..,..,..,..,..,..,..,..,101.54,100.93,103.18,98.83,104.18,102.71
"6416  utrustning, mobiltelefon",..,..,..,..,..,..,..,..,..,81.50,84.81,80.05,86.52,88.36,81.25
"7108  högtalare",89.44,88.21,92.39,95.47,89.03,90.67,89.25,93.18,93.59,86.12,93.46,98.94,102.42,108.88,99.83
"7111  videokamera",79.26,79.66,79.42,82.04,90.24,94.87,87.52,82.34,88.27,89.40,92.49,92.92,90.58,94.21,97.78
"7112  tv",79.02,81.75,82.08,74.51,76.74,77.08,78.72,80.42,81.49,84.72,90.26,87.20,96.01,96.84,94.56
"7115  dvd-spelare",84.52,78.45,89.44,89.53,89.11,87.92,84.79,88.34,95.07,91.80,99.42,95.98,95.37,111.86,106.03
"7117  hemmabiopaket",84.37,84.29,95.66,93.33,81.17,87.75,99.44,92.10,83.30,86.07,92.89,97.11,95.73,95.03,99.82
"7119  spelkonsol",..,..,..,..,..,87.92,84.61,84.98,91.15,94.30,97.01,93.70,84.77,105.11,100.67
"7120  hörlurar/headset",..,..,..,..,..,..,..,..,..,..,..,..,..,..,92.61
"7206  digitalkamera",76.10,75.05,76.82,83.68,88.33,82.04,78.22,82.81,87.93,88.50,96.42,98.54,104.32,100.67,99.24
"7304  inspelad musik",98.38,101.04,99.16,98.50,99.40,97.70,101.75,100.93,101.14,99.81,100.48,99.00,99.01,94.81,93.61
"7305  musikinstrument",91.12,96.85,101.03,98.26,106.90,98.87,97.27,99.13,97.78,95.18,103.70,100.65,101.78,100.68,105.88
"7307  dvd-film",86.36,101.69,95.74,100.26,98.19,100.24,99.28,93.44,97.38,99.24,100.47,97.22,113.67,98.59,82.69
"7414  frö/lök",101.05,100.82,100.65,101.45,103.83,104.15,110.87,104.53,106.07,99.87,103.56,97.92,98.49,97.62,99.17
"7415  blommor/växter",104.22,103.31,102.08,107.53,105.86,99.36,102.50,102.85,102.87,104.55,102.40,105.59,102.80,104.01,105.32
"7506  skidutrustning",94.56,91.64,102.63,94.77,91.91,110.46,105.29,95.16,96.96,99.66,98.74,105.47,100.86,110.22,104.35
"7512  sportartiklar",95.70,96.84,86.21,91.43,91.08,97.94,93.05,93.87,88.83,92.01,92.90,98.21,89.26,94.85,98.93
"7513  friluftsartiklar",99.75,97.64,97.32,96.27,97.22,96.45,103.25,101.81,103.48,97.24,92.30,98.67,100.71,93.68,94.86
"7601  leksaker",96.35,95.16,101.92,104.49,104.21,106.49,102.45,100.09,100.65,98.38,100.33,103.52,101.10,100.39,100.68
"7607 TV- och datorspel",105.15,87.78,100.53,98.75,98.88,90.36,93.26,100.86,104.86,107.17,99.80,99.69,100.06,98.98,96.06
"7705  utombordsmotor",100.93,100.27,100.63,99.50,100.56,102.77,105.35,98.07,95.31,96.60,95.79,98.11,101.70,102.31,102.01
"7706  fritidsbåt",102.57,102.67,100.51,101.90,104.43,107.05,103.60,98.99,99.36,101.19,102.61,102.69,102.79,102.21,103.83
"7707  reparation/underhåll av båt",104.09,104.92,104.10,108.70,105.59,102.01,100.88,101.05,102.85,100.98,101.71,102.19,101.67,100.40,101.67
"7709  borrmaskin",97.14,97.42,100.03,101.27,100.85,98.24,100.08,100.22,98.16,98.72,100.19,99.74,97.71,98.87,103.85
"7711  djurmat",98.50,99.98,100.66,103.36,106.72,101.24,100.50,102.82,101.36,99.85,99.87,99.68,99.90,100.90,102.97
"7713  datorer",75.88,83.01,75.76,73.05,84.06,82.34,80.69,85.17,86.59,89.16,92.67,91.52,94.98,95.05,91.85
"7715  blomjord",99.71,100.32,102.99,102.74,109.09,102.78,103.63,100.04,99.76,98.14,102.49,102.32,105.27,98.73,101.58
"7716  växtnäring",93.49,95.54,102.68,114.29,103.85,103.91,101.28,105.70,105.44,98.48,96.86,100.56,101.87,103.43,100.34
"7719  datortillbehör",77.26,86.38,84.38,82.69,88.94,91.77,85.78,85.62,90.39,95.49,102.38,96.72,100.00,97.47,93.46
"7720  vaccination av hund",101.24,105.06,100.79,101.43,98.59,100.70,100.71,100.62,101.72,101.69,101.00,103.15,98.26,99.04,104.33
"7721  blomkruka",102.34,103.83,102.97,102.57,107.34,104.08,108.24,105.15,102.92,100.61,105.20,101.42,100.19,99.35,103.70
"7722  läkemedel för sällskapsdjur",101.06,101.45,102.74,101.71,103.29,101.53,102.00,102.56,101.99,101.28,100.51,101.38,100.25,101.10,101.64
"7723  husdjur",100.08,103.69,104.43,104.05,104.21,103.83,103.84,100.90,113.33,108.89,104.26,105.57,109.47,100.56,105.89
"7801  framkallning",102.12,106.67,105.05,104.66,99.47,101.33,100.88,104.35,105.62,102.32,105.91,105.60,99.31,96.65,103.48
"7802  biljett, idrottstävlingar",100.68,100.95,103.30,102.57,101.46,103.35,102.50,102.40,101.08,100.74,100.13,102.73,101.10,101.36,98.09
"7803  biobiljett",99.54,100.99,102.57,101.23,106.79,105.62,109.39,102.38,103.82,103.73,101.14,102.66,103.93,104.41,103.19
"7804  teaterbiljett",102.67,101.45,100.33,104.08,104.22,101.54,102.93,103.77,105.21,108.48,104.50,100.87,100.66,104.93,101.44
"7805  inträdesbiljett, nöjen",109.70,102.02,108.87,104.63,106.52,105.55,105.19,103.16,104.08,103.29,98.68,100.36,106.48,105.14,102.67
"7808  lotteri, tips, toto",100.43,101.46,102.62,104.37,103.43,101.44,102.75,101.33,99.75,99.31,99.97,100.97,101.83,100.75,101.39
"7809  hyra av film",102.71,89.84,98.26,102.49,100.00,100.61,103.58,94.84,98.96,106.56,101.96,99.91,100.09,100.00,100.00
"7810  tv-, film- och musiktjänster",104.25,102.18,97.32,101.07,101.76,103.32,106.75,102.47,87.32,99.28,99.83,102.35,94.09,98.94,98.15
"7811  motionsutövning",102.53,102.10,103.10,103.23,104.53,102.67,102.74,102.64,101.83,101.98,101.87,102.51,102.24,101.57,101.44
"7812  hyra sommarplats för båt",104.48,109.50,103.45,105.53,105.41,106.88,102.70,103.48,102.64,100.62,102.52,102.65,103.47,104.60,104.02
"7814  museer",75.56,103.51,141.10,102.68,106.12,93.95,104.38,108.82,104.99,103.75,106.54,90.10,101.94,103.68,108.22
"7901  dagstidningar, lösnummer",100.03,105.37,108.21,104.14,102.80,108.46,109.08,106.13,112.81,112.68,109.95,112.21,112.72,102.68,109.90
"7902  dagstidningar, prenumeration",102.67,103.21,102.78,103.18,104.01,105.93,104.32,104.37,105.40,105.81,106.81,108.84,108.48,111.08,110.31
"7903  populärtidskrift, lösnummer",102.12,102.20,103.32,102.85,106.94,103.33,100.22,101.46,99.69,102.32,101.56,102.74,103.44,105.85,106.90
"7904  populärtidskrift, prenumeration",103.39,102.77,102.83,101.63,102.94,102.12,99.92,100.18,99.73,101.85,102.22,102.08,104.20,94.47,102.91
"7905  böcker",102.14,101.35,101.49,99.82,108.44,98.59,98.32,100.89,104.55,102.12,96.12,102.67,104.90,101.47,99.50
"7906  gratulationskort",101.20,100.73,100.60,101.89,108.41,104.99,101.66,100.70,99.70,100.93,99.60,99.34,100.80,100.15,100.01
"9103  läkemedel",99.20,100.81,100.21,100.07,100.28,101.04,100.20,97.99,97.97,98.73,98.23,93.91,98.86,99.60,100.17
"9105  läkarvård",102.82,99.43,100.42,101.07,105.62,105.30,100.85,108.81,102.42,100.66,100.80,103.09,102.40,100.59,100.82
"9106  tandläkararvode",104.20,103.14,105.79,96.47,96.68,105.39,102.59,102.26,104.48,102.07,101.36,103.55,101.16,97.07,100.79
"9111  sjukvårdsartiklar",101.10,100.24,98.71,100.31,103.26,101.86,100.87,101.11,102.34,101.20,101.23,100.20,100.12,100.57,99.86
"9114  glasögon",99.92,97.66,101.89,101.85,102.31,101.02,98.75,98.60,103.68,103.30,100.75,97.29,100.36,103.87,106.47
"9115  kontaktlinser",99.41,95.71,98.48,100.90,96.22,99.11,101.85,96.61,98.15,94.29,99.33,100.38,99.96,98.71,103.37
"9117  naturläkemedel och vitaminer",100.65,100.19,100.61,104.89,101.86,102.13,99.51,102.85,99.97,99.63,100.39,100.34,99.56,100.77,99.92
"9205  tvål",98.89,95.90,101.27,101.96,104.49,100.89,98.39,100.37,97.73,95.40,100.18,98.23,99.88,101.33,100.39
"9208  schampo",97.43,100.90,100.53,101.10,102.70,100.77,100.03,100.13,98.28,101.39,98.90,100.51,102.49,98.60,98.73
"9215  hårfärgning",103.84,104.09,102.48,104.42,102.74,103.89,104.59,102.90,102.37,103.76,102.00,101.88,102.71,104.16,105.34
"9216  rakapparat",100.60,97.76,96.32,95.31,101.44,98.11,89.79,101.30,97.63,96.45,92.29,95.08,104.94,98.78,98.61
"9219  blöjor",93.18,98.06,96.28,100.55,101.14,100.49,95.94,98.46,101.86,101.84,97.76,99.25,98.38,99.38,102.61
"9220  varaktiga toalettartiklar",97.52,95.80,99.41,93.44,100.99,102.20,101.74,100.17,102.84,96.92,99.41,102.26,98.37,104.46,98.85
"9222  deodorant, hudcreme m.m.",97.70,96.98,99.54,102.37,103.76,100.29,97.93,99.12,98.09,98.32,99.20,101.47,103.09,98.85,99.96
"9223  andra ej varaktiga toalettartiklar",99.99,101.38,99.44,108.43,104.14,103.74,104.96,99.31,101.61,100.40,96.97,99.90,100.14,102.00,101.80
"9224  toalettpapper m.m.",97.62,98.75,102.26,103.85,101.55,99.27,100.12,99.92,99.95,98.36,101.13,100.59,99.98,100.11,105.36
"9225  kosmetika",105.44,99.14,105.39,104.78,101.64,103.43,97.26,101.06,101.01,99.17,100.94,102.43,98.85,102.72,102.29
"9226  hårklippning",..,103.81,102.28,104.50,101.07,102.73,104.85,104.48,102.20,102.82,103.19,104.02,102.63,103.26,104.53
"9303  ur",100.44,98.04,99.28,101.29,104.74,104.32,98.71,98.90,96.41,98.63,102.29,103.81,101.25,106.72,103.35
"9305  smycke",103.59,118.82,108.49,107.90,119.16,117.19,114.08,110.11,97.29,91.80,103.49,100.51,104.58,98.65,104.15
"9306  barnvagn",101.09,95.43,95.55,99.06,100.86,101.35,102.20,100.79,100.26,100.43,100.16,105.72,92.83,92.80,110.16
"9313  kontorsmaterial",101.08,98.38,99.98,106.12,98.65,94.93,100.94,103.37,103.42,99.24,101.11,101.50,98.13,102.37,96.81
"9318  väska",93.96,102.30,96.93,98.70,96.21,98.76,100.86,97.35,100.62,103.31,101.77,99.37,101.81,98.77,100.21
"9320  bilbarnstol",101.29,101.32,102.65,100.28,100.97,105.25,104.64,101.70,92.10,106.97,102.00,101.54,96.67,94.16,98.42
"9401  rödvin",101.94,102.85,104.60,104.44,104.78,104.27,103.13,102.43,101.95,101.60,103.84,103.07,103.89,104.97,105.03
"9403  öl, > 4,5 %",101.36,102.30,102.53,102.13,102.87,103.53,101.98,101.36,101.52,101.22,102.42,101.07,102.74,103.20,101.30
"9405  spritdrycker",102.30,102.45,101.20,104.14,103.40,103.61,102.12,101.77,101.68,101.82,102.50,102.13,101.45,102.38,102.63
"9406  öl, 3,6-4,5 %",102.78,103.50,101.70,110.18,104.51,105.84,102.15,101.66,102.00,101.49,103.13,103.41,102.95,102.09,103.33
"9502  läskedryck, restaurang",100.39,102.38,103.67,104.77,98.67,102.58,101.75,100.55,103.18,100.54,104.22,101.74,102.62,101.88,102.10
"9509  middag",100.83,102.13,102.95,106.61,102.51,102.54,103.27,98.32,100.70,100.83,103.04,101.67,104.01,102.83,103.62
"9519  dagens lunch, restaurang",102.70,102.88,102.19,105.97,103.43,103.42,102.81,100.00,101.82,100.97,102.67,102.54,102.89,102.79,102.60
"9520  lunch à la carte",103.28,102.32,103.46,107.40,104.10,99.97,101.83,99.32,102.79,101.14,103.61,101.18,100.87,102.97,101.64
"9521  en kopp kaffe",104.48,104.31,102.75,104.31,100.69,104.30,106.32,102.60,101.59,102.84,103.43,100.89,104.36,103.77,103.46
"9552  pizza",101.01,102.83,104.48,106.23,101.22,103.10,105.40,103.87,99.90,100.68,102.40,105.31,106.54,103.21,102.67
"9554  snabbmat",101.72,102.40,104.22,109.49,104.95,103.20,103.79,97.94,102.76,103.14,102.78,103.00,106.34,103.57,103.50
"9555  kaffebröd",103.99,104.36,103.88,105.94,104.56,104.02,101.68,100.30,101.67,102.50,101.31,102.65,103.51,101.84,102.43
"9559  dagens lunch, personalmatsal",103.29,103.94,102.37,105.09,106.92,103.84,102.33,99.75,103.12,103.96,103.37,100.92,102.60,102.00,103.77
"9603  stugbyvistelse",99.53,100.79,103.68,104.83,104.43,100.29,101.47,102.62,101.24,100.97,101.62,102.04,102.20,103.73,104.99
"9604  hotellrum vardag",98.91,99.44,103.78,103.57,100.24,101.76,102.96,99.12,97.51,97.78,99.63,101.11,104.41,100.40,97.28
"9605  hotellrum veckoslut",103.84,103.29,104.08,103.68,100.60,104.25,100.48,102.00,106.58,97.91,101.05,102.41,107.99,105.21,100.84
"9606  camping",103.46,101.53,105.84,105.89,103.89,104.01,104.48,103.54,104.15,103.48,103.64,102.58,102.03,103.91,103.06
"9701  begravningskostnad",102.44,103.82,102.15,104.40,106.26,101.92,100.81,107.00,101.72,102.37,102.41,102.34,101.98,102.07,102.98
"9702  passavgift",139.23,164.95,100.00,100.00,100.00,100.00,100.00,87.50,100.00,100.00,100.00,104.79,101.52,100.00,100.00
"9703  juristarvode",100.80,102.06,102.64,102.35,102.15,102.75,102.82,103.29,103.09,102.74,102.04,101.61,101.44,101.27,101.55
"9704  annonskostnad",92.44,101.09,107.14,102.47,100.55,103.34,105.46,124.93,106.59,100.11,102.60,103.13,100.21,100.48,103.07
"9705  fastighetsmäklartjänster",..,..,..,..,..,..,..,..,..,..,..,101.61,101.48,97.74,101.75
"9801  hemförsäkring",102.93,100.38,99.19,101.22,103.14,103.21,101.95,103.67,100.92,107.49,104.49,102.58,102.04,104.77,102.90
"9802  banktjänster",103.17,101.30,100.76,99.11,100.00,101.07,100.40,104.65,101.87,100.00,100.00,107.16,110.51,105.29,100.00
"9803  privat utbildning",..,105.00,105.65,103.77,104.11,104.13,103.94,103.23,102.22,104.52,103.44,99.94,102.88,105.11,101.83
"9804  sjuk- och olycksfallsförsäkring",104.76,107.10,104.69,101.10,100.06,101.51,99.89,99.29,103.85,103.44,103.26,101.93,101.16,101.32,101.61
"9805  barnomsorg",..,102.56,102.18,102.90,102.02,101.29,101.89,101.20,101.86,101.48,100.64,101.02,104.02,102.59,103.59
"9806  fritidsavgift",..,102.56,102.18,102.90,102.02,101.29,101.89,101.20,101.86,101.48,100.64,101.02,104.02,102.59,103.59
"9807  äldreomsorg",..,..,..,..,..,..,..,..,..,..,..,99.68,111.85,103.68,102.06
